date,year,month,quarter,supplier_id,company_name,company_size,industry,location,delivery_reliability,cost_efficiency,defect_rate,quality_score,on_time_delivery_rate,order_volume,response_time_hours,customer_satisfaction,overall_score,performance_category,defect_cost_impact,efficiency_ratio,cluster,cluster_name
2015-12-01,2015,12,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.03905496241168,65.99816223786726,2.322495740960881,80.06323419465384,70.3904854121746,350.45791907919624,24.22306339210056,8.306902026182975,74.14,Fair,34256.81,1.213,1,Needs Improvement
2016-01-01,2016,1,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,68.44968468071463,64.5909104444868,1.3623061047664875,80.43032359325433,68.20120140718811,281.0,20.30397497216636,7.64015119513745,75.05,Good,19140.4,1.245,1,Needs Improvement
2016-02-01,2016,2,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,68.50205100777417,65.30790460981912,1.9233761035534969,81.15935289641175,66.19090784475866,348.0,23.30616632833269,8.228911542759038,74.86,Fair,33466.74,1.243,1,Needs Improvement
2016-03-01,2016,3,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,68.93239528954675,65.1251185066884,2.385272732460977,80.6160315282315,72.29130636565655,258.0,18.395971237092,8.066291380365342,73.71,Fair,30770.02,1.238,1,Needs Improvement
2016-04-01,2016,4,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,68.59060181170524,63.95447286152446,0.3412512301504313,80.95446818401834,71.09225453985817,337.0,24.85470694114155,7.938420528233553,77.43,Good,5750.08,1.266,1,Needs Improvement
2016-05-01,2016,5,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,68.23619000483545,63.30351822868143,2.446997616002244,79.70311753468796,69.04225211091763,283.0,22.48686831923294,6.922604795810639,71.67,Fair,34625.02,1.259,1,Cost Efficient
2016-06-01,2016,6,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.65424644001867,64.61947773531679,1.9135263376412683,79.72675377520147,70.07870528870673,345.0,19.78147380074945,7.332103454869634,73.77,Fair,33008.33,1.234,1,Needs Improvement
2016-07-01,2016,7,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,70.59539346070017,64.37032119822686,0.3652073448575051,80.14312269520386,69.54061045330296,310.0,19.455723269942208,6.795768358274992,76.62,Good,5660.71,1.245,1,Cost Efficient
2016-08-01,2016,8,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.74163201085659,65.52901869591578,1.528404346013063,80.35049665330341,70.5930845829278,342.0,21.792803778003886,7.979973469275605,75.55,Good,26135.71,1.226,1,Needs Improvement
2016-09-01,2016,9,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.23656474801366,65.33758245381546,1.523438689261559,79.24593963937576,70.1601864367477,268.0,22.555436787467453,7.056140935609803,74.2,Fair,20414.08,1.213,1,Needs Improvement
2016-10-01,2016,10,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,68.76064198596855,65.19566648654065,2.646465506553187,78.79038387533595,66.50749238374647,326.9812183765866,20.19124214869678,6.989611844586358,71.62,Fair,34801.02,1.209,1,Cost Efficient
2016-11-01,2016,11,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,67.69273310756665,65.20143172714099,1.0845858265530144,78.92667943042191,64.57421107120341,426.2765517418608,20.422789279288587,7.661310039255389,75.19,Good,18275.27,1.211,1,Needs Improvement
2016-12-01,2016,12,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,68.13701420451794,65.58432304867458,1.340056403414596,79.00664381038393,66.156607276082,347.15942897955,26.57052378207495,7.369734392237578,74.59,Fair,19095.8,1.205,1,Needs Improvement
2017-01-01,2017,1,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,67.93303323504878,65.91296767027725,2.244049171319728,78.02854970064024,68.01236164138317,303.0,21.566405112312225,6.831104697063872,72.02,Fair,33997.34,1.184,1,Cost Efficient
2017-02-01,2017,2,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,67.00320910422943,65.03951458626933,0.1,78.60061033034093,65.8110824169865,264.0,20.275790354368112,7.541315730896421,76.75,Good,1320.0,1.209,1,Needs Improvement
2017-03-01,2017,3,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,68.02887065088561,65.72690164465465,2.072922627990305,79.37199711244043,65.21873602186504,304.0,24.86848844981307,7.659660039376071,73.51,Fair,31508.42,1.208,1,Needs Improvement
2017-04-01,2017,4,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,67.71910712321696,64.87850349898558,1.4233932378468348,79.3344351443281,68.19841148280433,283.0,21.877622158506185,7.560460087931985,74.45,Fair,20141.01,1.223,1,Needs Improvement
2017-05-01,2017,5,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,68.15185791049765,64.58718924904545,0.588706968021689,79.28287985572672,66.01575394636566,274.0,21.919283551163414,7.25504791919119,75.85,Good,8065.29,1.228,1,Cost Efficient
2017-06-01,2017,6,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.04318544046191,64.52603372018265,2.469894252167624,79.34554970922294,71.56676306775275,338.0,20.37423670206516,7.056011307295673,72.12,Fair,41741.21,1.23,1,Cost Efficient
2017-07-01,2017,7,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.8941516356855,66.0374662275046,2.009753811869366,79.52462963800845,71.7777496294118,262.0,20.295721982188724,6.566356767107297,73.11,Fair,26327.77,1.204,1,Cost Efficient
2017-08-01,2017,8,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,68.62918411923631,65.8268401143371,0.7694180705484351,79.56635475225282,69.1867154047895,257.0,27.38979514225186,6.871714122533699,75.55,Good,9887.02,1.209,1,Cost Efficient
2017-09-01,2017,9,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.14140926798517,65.12933715774257,2.5838823528775032,79.35658375074037,70.94066136434165,311.0,16.878951295019178,6.913438668370868,71.9,Fair,40179.37,1.218,1,Cost Efficient
2017-10-01,2017,10,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,70.21621404386539,65.35334041594359,2.5438585486946845,79.31697986245582,67.97795331824352,316.0428850060524,22.798328454031257,8.144176160539734,73.51,Fair,31543.85,1.214,1,Needs Improvement
2017-11-01,2017,11,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,70.42966562130191,64.85575887230358,1.2033041163945823,79.45543696789545,68.06510086236644,406.5864029337999,22.401790009066584,8.663706221643753,76.7,Good,20335.84,1.225,1,Needs Improvement
2017-12-01,2017,12,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,71.48137605856209,65.75297137862644,1.3937995849147704,79.32166287882124,70.60175790692418,374.7377169306104,23.92542637661709,7.2064616550893135,75.27,Good,20628.23,1.206,1,Needs Improvement
2018-01-01,2018,1,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,70.00578773213638,65.2681977936401,2.270434640657475,79.40747430722188,72.85132776405813,314.0,18.86506780371408,7.976248293093427,73.84,Fair,35645.82,1.217,1,Needs Improvement
2018-02-01,2018,2,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,70.72085256002377,65.5598261265702,3.870077886529592,79.24126099414316,72.76183664244817,257.0,19.63945942068682,6.695950806557912,69.56,Fair,49730.5,1.209,1,Cost Efficient
2018-03-01,2018,3,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,72.32757368606113,65.10986902058477,2.9677126039726667,79.55367833948165,69.51136751242254,341.0,21.28249042468701,6.847929609086776,71.9,Fair,50599.5,1.222,1,Cost Efficient
2018-04-01,2018,4,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,71.81436111957186,65.58853298070875,1.839008679276373,79.75939505171239,72.8280038274916,323.0,18.55780413641672,7.702518079711545,75.04,Good,29699.99,1.216,1,Needs Improvement
2018-05-01,2018,5,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,70.97719014532137,65.52396677150844,1.919911241084052,79.4363907530464,70.70751801540446,354.0,22.3821775479134,6.945722110422894,73.81,Fair,33982.43,1.212,1,Needs Improvement
2018-06-01,2018,6,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,73.49057231838252,65.42543181511599,2.6045103716415765,79.54715153597162,76.59554445107072,325.0,22.32272816042105,6.879469662130553,73.01,Fair,42323.29,1.216,1,Needs Improvement
2018-07-01,2018,7,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,71.9390265239407,65.36643260957835,2.8639690035567904,80.54672325303169,71.58536974749153,253.0,21.933690119851143,7.93210455724212,73.4,Fair,36229.21,1.232,1,Needs Improvement
2018-08-01,2018,8,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,70.56971577041413,65.06492854318739,2.2936930865213183,81.05899581492329,67.0739180365811,279.0,23.52673327333429,6.311022950489219,72.64,Fair,31997.02,1.246,1,Cost Efficient
2018-09-01,2018,9,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,70.9960908977124,65.90546453955972,1.2213077437033222,80.94470749335082,69.04089279537794,294.0,21.33075416710187,7.570906123677548,76.29,Good,17953.22,1.228,1,Needs Improvement
2018-10-01,2018,10,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.22030232719965,65.4754950618214,2.299574058101818,80.50670088409422,70.13583972688781,312.27773123563566,19.787855954182977,7.674895869390305,73.6,Fair,27824.85,1.23,1,Needs Improvement
2018-11-01,2018,11,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.70758078675351,65.35759965139046,2.067590533776793,80.14226402785276,66.6897756440603,397.2823175169568,22.21840981680947,7.390872346630979,73.79,Fair,34218.62,1.226,1,Needs Improvement
2018-12-01,2018,12,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,70.2813383493712,65.24114234053975,1.640390447589659,79.68659174443071,67.22908054391672,406.5931142579827,24.59940483335433,6.218334228601689,73.48,Fair,27312.5,1.221,1,Cost Efficient
2019-01-01,2019,1,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.29581083968755,64.2535741461503,1.0566712253076025,79.00366412495548,71.8028336355147,352.0,19.00721690583812,7.207563592899365,75.02,Good,18597.41,1.23,1,Needs Improvement
2019-02-01,2019,2,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.52308820286936,65.06145526965125,1.2035175287557882,80.09569322153243,67.59015281199049,267.0,22.01973185054843,7.559087659139722,75.57,Good,16066.96,1.231,1,Needs Improvement
2019-03-01,2019,3,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,71.1737911831667,64.75880275083836,0.9933224517218392,79.38833526674505,72.75574920264849,342.0,21.1003079636356,8.266187922431408,76.87,Good,16985.81,1.226,1,Needs Improvement
2019-04-01,2019,4,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,71.01768912652014,65.22815302476035,0.3777315891198449,79.76884268786264,68.07406649638294,265.0,18.48268195113696,8.707659612549591,78.69,Good,5004.94,1.223,1,Needs Improvement
2019-05-01,2019,5,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,70.82744682137604,66.07270941778306,0.293605578588083,79.28384540811564,71.70676183823768,289.0,17.658381479506314,8.680355703619478,78.84,Good,4242.6,1.2,1,Needs Improvement
2019-06-01,2019,6,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,71.99957633256523,65.35188162601153,2.870737996920817,79.32184484734594,71.90908149246093,347.0,21.15081014950061,8.015404588372434,73.17,Fair,49807.3,1.214,1,Needs Improvement
2019-07-01,2019,7,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,74.51908917293926,64.7506621119308,2.378254074993612,79.75184570057084,78.12881010288069,302.0,20.74272093465504,7.13334402868724,73.89,Fair,35911.64,1.232,1,Needs Improvement
2019-08-01,2019,8,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,74.59265212425665,65.02996903435763,1.2772591687607406,79.18692710700503,77.05228368973226,264.0,25.06330718560552,8.514567031866662,77.41,Good,16859.82,1.218,1,Needs Improvement
2019-09-01,2019,9,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,73.70293707177487,64.88199722442086,1.861142944580587,79.57243872835754,73.8423661159752,245.0,22.857558336212005,7.234252930519222,74.81,Fair,22799.0,1.226,1,Needs Improvement
2019-10-01,2019,10,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,74.20470304252639,64.49286303988345,0.5184037935026385,79.17832251829259,73.13372672096109,398.3372838003293,22.970174213677108,6.984307707359413,77.19,Good,8449.98,1.228,1,Needs Improvement
2019-11-01,2019,11,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,76.2840609852127,64.73594185130796,1.1268693447513745,79.13894585289826,72.70773555362459,341.710056579747,20.67096464279821,7.865055100549847,77.41,Good,15325.42,1.222,1,Needs Improvement
2019-12-01,2019,12,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,78.19345421277721,65.63276880467525,0.4149074202714857,79.22075783325528,74.87130977171921,414.78655911563897,25.77229500253532,7.99640787224858,79.65,Good,6804.48,1.207,1,Needs Improvement
2020-01-01,2020,1,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,75.85489146101847,65.70090250384274,2.5030387318213423,79.11837942834798,74.12650087258983,309.0,20.36796594362402,7.405936497240354,74.28,Fair,38671.95,1.204,1,Needs Improvement
2020-02-01,2020,2,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,75.58656676940957,65.54440602036802,2.01469241033597,79.58235836011248,77.34187495762106,336.0,24.39477752208296,8.164312079381405,76.04,Good,33846.83,1.214,1,Needs Improvement
2020-03-01,2020,3,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,75.15102990716414,64.27438744602242,2.940217566322725,79.91358020110216,78.48818157889856,244.0,22.68147673353893,7.531422346260846,73.27,Fair,35870.65,1.243,1,Needs Improvement
2020-04-01,2020,4,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,75.55213872960672,63.71804654843549,3.337566915107778,79.14361355581215,79.11108451845261,353.0,24.080379170344045,7.284640064692109,72.03,Fair,58908.06,1.242,1,Needs Improvement
2020-05-01,2020,5,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,75.24811888971267,63.11244048821565,1.0519338862018697,79.73948448582541,72.06477131174091,324.0,24.3337525464208,7.337321702668379,76.6,Good,17041.33,1.263,1,Needs Improvement
2020-06-01,2020,6,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,75.31388379890214,64.6729567544731,1.395158645585962,79.46084526546639,76.2620206485282,346.0,19.12331315242271,8.024360450887583,76.86,Good,24136.24,1.229,1,Needs Improvement
2020-07-01,2020,7,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,76.14495420481126,65.56664597478652,1.1631113889580438,79.52114555932616,75.99171720777534,314.0,20.931235252472213,8.54515837110979,78.25,Good,18260.85,1.213,1,Needs Improvement
2020-08-01,2020,8,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,77.50647709743241,65.0216927683543,1.2456630896716876,79.26439862731372,75.85744147537345,274.0,17.954883693058637,7.221943122646742,76.93,Good,17065.58,1.219,1,Needs Improvement
2020-09-01,2020,9,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,76.25160881632453,64.8708728171466,2.285003347396681,79.71707131657683,79.64276203551029,296.0,19.57679625214916,7.784913056439812,75.18,Good,33818.05,1.229,1,Needs Improvement
2020-10-01,2020,10,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,76.53934959590767,65.11507512680566,2.304324599249844,79.93417813666541,74.063516191627,295.1540454854037,22.932993928887573,7.298302681500994,74.83,Fair,30762.73,1.228,1,Needs Improvement
2020-11-01,2020,11,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,76.2338638114068,64.84363675070917,1.8088110857541653,79.7396204395255,77.72820472150086,322.8880254198821,20.71779420671181,8.005260872713157,76.35,Good,23424.1,1.23,1,Needs Improvement
2020-12-01,2020,12,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,76.66601939395964,65.98670472549269,1.626655930042148,78.89646485683457,79.5598615754478,341.8395493078849,22.90923850085244,8.267631063634695,77.1,Good,22122.52,1.196,1,Needs Improvement
2021-01-01,2021,1,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,75.96976178573983,64.37605994305196,0.5207143091863933,79.15635813409843,77.66707906724632,298.0,20.787017697201414,8.02295740139359,78.64,Good,7758.64,1.23,1,Needs Improvement
2021-02-01,2021,2,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,76.28388614147542,66.26022275953977,2.2962680283527126,79.90676952222847,75.12291563585842,320.0,18.543447759945646,7.851177529568583,75.56,Good,36740.29,1.206,1,Needs Improvement
2021-03-01,2021,3,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,76.81284657139736,66.49582869559418,2.879077964355636,79.9689208956858,78.41334190755452,340.0,23.955589674452067,8.109567261276545,74.85,Fair,48944.33,1.203,1,Needs Improvement
2021-04-01,2021,4,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,78.25415033339364,65.91232392230255,1.4111539788645162,80.19244598914683,80.15970350292024,259.0,22.65874540484576,8.061020197302803,78.03,Good,18274.44,1.217,1,Needs Improvement
2021-05-01,2021,5,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,77.91716742754242,66.2032855236887,2.208268915243906,80.01039224975543,78.94422109291969,271.0,23.11320865755591,8.770901613026991,77.08,Good,29922.04,1.209,1,Needs Improvement
2021-06-01,2021,6,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,77.64422946968793,65.99887235178134,3.696206649529224,79.99612934050617,76.41645808712423,316.0,22.17333195505477,7.584189340567942,72.8,Fair,58400.07,1.212,1,Needs Improvement
2021-07-01,2021,7,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,77.55599333608349,65.38534478375234,2.042745785124597,79.65889185754635,76.36072407529008,314.0,20.704396600730583,7.875577967360254,76.17,Good,32071.11,1.218,1,Needs Improvement
2021-08-01,2021,8,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,79.04780454977126,64.80034519079962,2.12464520042446,79.60062044834508,82.9774645823082,290.0,19.36250153879213,7.615661829218615,75.99,Good,30807.36,1.228,1,Needs Improvement
2021-09-01,2021,9,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,79.4011194677233,65.61654478193287,1.83842072984163,80.11226444270838,82.98102662471211,258.0,23.12264265119108,7.752938933397468,77.08,Good,23715.63,1.221,1,Needs Improvement
2021-10-01,2021,10,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,80.7813843436186,64.3677296323115,2.613990084958948,79.39110819166056,80.04897189534253,431.5498889862933,20.40049643445128,7.310287703953239,75.0,Fair,45483.43,1.233,1,Needs Improvement
2021-11-01,2021,11,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,80.2707624028005,65.24651880733661,1.5115368525775783,79.32731999661834,84.02898674387004,326.8403916803949,22.507690988029168,8.089346093137081,78.02,Good,19876.71,1.216,1,Needs Improvement
2021-12-01,2021,12,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,80.3812369767766,65.63585798588686,1.4926884592721843,79.63788022649584,76.62362458210133,389.0064807147357,24.320643830248827,8.130465378674268,78.28,Good,26196.68,1.213,1,Needs Improvement
2022-01-01,2022,1,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,70.76348609897725,65.61579982696037,1.1970649787995022,79.59429736963367,76.61325953554308,298.0,28.560449532504144,7.559452663041505,77.93,Good,17836.27,1.213,1,Needs Improvement
2022-02-01,2022,2,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,72.34327645396468,65.04844845617089,0.1,79.24753083055315,76.29769694264542,286.0,31.92814040488819,7.8726231696782945,80.42,Good,1430.0,1.218,1,Needs Improvement
2022-03-01,2022,3,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,71.01251422173891,65.25528074224069,0.8384831453368107,78.77344340557114,80.30330554736217,252.0,26.79464179229434,7.402825164749439,78.59,Good,10564.89,1.207,1,Needs Improvement
2022-04-01,2022,4,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,73.94712048166119,65.00627686568417,1.329596190107245,79.47556261108964,81.62530440923935,250.0,25.00029593538936,7.892180029271152,78.47,Good,16619.95,1.223,1,Needs Improvement
2022-05-01,2022,5,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,70.0457556690407,65.13374548588322,1.6923460341351133,79.12284038431773,83.21310196678468,264.0,30.21643767289696,8.293697764215,77.91,Good,22338.97,1.215,1,Needs Improvement
2022-06-01,2022,6,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,68.63937279936317,65.56414219938539,2.4819600230419443,78.9204944421737,82.97068046910799,281.0,27.43226253905192,8.140576549757156,76.15,Good,34871.54,1.204,1,Needs Improvement
2022-07-01,2022,7,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,80.13978609517106,65.61563585700472,3.4202273164768733,79.80927787976533,76.78697772030092,246.0,20.51940428804486,7.255764466179453,73.53,Fair,42068.8,1.216,1,Needs Improvement
2022-08-01,2022,8,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,79.77346463748947,65.71559733374366,1.8599194367829008,79.96290030870422,79.75907124251731,305.0,19.955813479982563,8.182318402767526,77.54,Good,28363.77,1.217,1,Needs Improvement
2022-09-01,2022,9,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,78.92327992116853,65.12121299706395,0.6824287407047118,80.14393835751778,77.01083379919667,295.0,22.62068654048432,8.336666656814565,79.76,Good,10065.82,1.231,1,Needs Improvement
2022-10-01,2022,10,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,78.97819550065444,64.23066884231571,2.2369364692352347,80.80035771043008,75.34606088169653,408.8122599420848,18.698626572482816,8.714299674937443,77.03,Good,38475.31,1.258,1,Needs Improvement
2022-11-01,2022,11,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,79.42045361945416,63.34353836772807,1.6944916092091424,81.36836063868748,82.6954620159455,336.12715736519664,24.77532099472555,8.531806661685504,78.01,Good,22536.74,1.285,1,Needs Improvement
2022-12-01,2022,12,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,79.30955049899201,64.1997663402705,1.0795446550875585,81.0393793411286,77.22801840641728,459.3881098884704,22.46984055048565,7.817007366499062,78.59,Good,19269.87,1.262,1,Needs Improvement
2023-01-01,2023,1,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,78.2519767745674,64.23862399262238,2.3182441397617857,80.57500243335812,77.15045006373103,310.0,21.097358412467493,7.107779973028461,75.03,Good,35932.78,1.254,1,Needs Improvement
2023-02-01,2023,2,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,77.89619363903851,64.06937443389553,3.09780455356172,80.88535917549223,77.53623175578564,267.0,17.631925249913788,7.6364400322325725,73.95,Fair,41355.69,1.262,1,Needs Improvement
2023-03-01,2023,3,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,78.63915208750767,64.76353597785919,1.5709448736196092,81.14083126214501,76.0207978831733,260.0,21.178970192838992,8.894741713524692,78.65,Good,20422.28,1.253,1,Needs Improvement
2023-04-01,2023,4,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,79.79348515354246,65.53726018396883,1.1339976046051774,80.89807006423503,76.69685654474561,272.0,21.91901053184537,7.637724663023201,78.65,Good,15422.37,1.234,1,Needs Improvement
2023-05-01,2023,5,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,80.21364863211971,65.23585650439537,1.992282168528912,79.95960124469752,76.5364372713638,258.0,23.65489564467872,7.958321154337149,77.06,Good,25700.44,1.226,1,Needs Improvement
2023-06-01,2023,6,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,81.52890720925576,66.60798296768264,0.7793333228131953,78.32623633226002,77.69683325153876,277.0,19.945304474862063,8.352672647614025,80.08,Good,10793.77,1.176,1,Needs Improvement
2023-07-01,2023,7,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,81.81302551959224,66.81618600741426,0.8608940338175042,78.3608903206918,83.38895671411373,340.0,22.12307810556091,8.209566411392805,79.89,Good,14635.2,1.173,1,Needs Improvement
2023-08-01,2023,8,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,83.89208801785313,66.33093887105348,1.101294847245898,78.69628513198215,87.50740660731817,322.0,19.668919278918427,8.380041714242774,80.09,Good,17730.85,1.186,1,Needs Improvement
2023-09-01,2023,9,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,82.40716289396279,65.36353520572625,2.292927421345678,79.8169755722639,86.52268971906922,245.0,21.693963602087774,7.952057780816619,76.99,Good,28088.36,1.221,1,Needs Improvement
